,first,second,label
0,['Bunched Cilantro'],['Organic Cilantro'],0
1,['Organic Cilantro'],['Bunched Cilantro'],0
2,['Extra Virgin Olive Oil'],['Organic Cilantro'],0
3,['Organic Cilantro'],['Extra Virgin Olive Oil'],0
4,['Extra Virgin Olive Oil'],['Organic Italian Parsley Bunch'],0
5,['Organic Italian Parsley Bunch'],['Extra Virgin Olive Oil'],0
6,['Organic Cilantro'],['Organic Italian Parsley Bunch'],0
7,['Organic Italian Parsley Bunch'],['Organic Cilantro'],0
8,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Broccoli & Apple Stage 2 Baby Food'],1
9,['Broccoli & Apple Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
10,['Baby Food Stage 2 Pumpkin Banana'],['Broccoli & Apple Stage 2 Baby Food'],1
11,['Broccoli & Apple Stage 2 Baby Food'],['Baby Food Stage 2 Pumpkin Banana'],1
12,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Broccoli & Apple Stage 2 Baby Food'],1
13,['Broccoli & Apple Stage 2 Baby Food'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",1
14,['Organic Whole String Cheese'],['Broccoli & Apple Stage 2 Baby Food'],1
15,['Broccoli & Apple Stage 2 Baby Food'],['Organic Whole String Cheese'],1
16,['Broccoli & Apple Stage 2 Baby Food'],['Organic Whole Milk'],1
17,['Organic Whole Milk'],['Broccoli & Apple Stage 2 Baby Food'],1
18,['Stage 2 Sweet Potato Corn & Apple Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],1
19,['Broccoli & Apple Stage 2 Baby Food'],['Stage 2 Sweet Potato Corn & Apple Baby Food'],1
20,['Extra Virgin Olive Oil'],['Broccoli & Apple Stage 2 Baby Food'],1
21,['Broccoli & Apple Stage 2 Baby Food'],['Extra Virgin Olive Oil'],1
22,['Broccoli & Apple Stage 2 Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
23,['Spinach Peas & Pear Stage 2 Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],1
24,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Broccoli & Apple Stage 2 Baby Food'],1
25,['Broccoli & Apple Stage 2 Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
26,['Apple and Carrot Stage 2 Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],1
27,['Broccoli & Apple Stage 2 Baby Food'],['Apple and Carrot Stage 2 Baby Food'],1
28,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],1
29,['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
30,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Baby Food Stage 2 Pumpkin Banana'],1
31,['Baby Food Stage 2 Pumpkin Banana'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
32,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Spinach Peas & Pear Stage 2 Baby Food'],1
33,['Spinach Peas & Pear Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
34,['Pear & Mango Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
35,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Pear & Mango Stage 2 Baby Food'],1
36,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
37,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
38,['Apple and Carrot Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
39,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Apple and Carrot Stage 2 Baby Food'],1
40,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic Whole Milk'],1
41,['Organic Whole Milk'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
42,['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
43,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],1
44,['Organic Stage 2 Peaches & Bananas Baby Food'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
45,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic Stage 2 Peaches & Bananas Baby Food'],1
46,"['Organic Apples, Carrots and Parsnips Puree']",['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
47,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],"['Organic Apples, Carrots and Parsnips Puree']",1
48,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
49,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
50,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],"['Organic Pears, Peas and Broccoli Puree Stage 1']",1
51,"['Organic Pears, Peas and Broccoli Puree Stage 1']",['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
52,['Baby Food Stage 2 Pumpkin Banana'],['Spinach Peas & Pear Stage 2 Baby Food'],1
53,['Spinach Peas & Pear Stage 2 Baby Food'],['Baby Food Stage 2 Pumpkin Banana'],1
54,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Baby Food Stage 2 Pumpkin Banana'],1
55,['Baby Food Stage 2 Pumpkin Banana'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
56,['Apple and Carrot Stage 2 Baby Food'],['Baby Food Stage 2 Pumpkin Banana'],1
57,['Baby Food Stage 2 Pumpkin Banana'],['Apple and Carrot Stage 2 Baby Food'],1
58,['Organic Stage 2 Broccoli Pears & Peas Baby Food'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",1
59,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Organic Stage 2 Broccoli Pears & Peas Baby Food'],1
60,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Organic Whole Milk'],1
61,['Organic Whole Milk'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",1
62,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Spinach Peas & Pear Stage 2 Baby Food'],1
63,['Spinach Peas & Pear Stage 2 Baby Food'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",1
64,['Organic Stage 4 Spinach Mango & Pear Baby Food'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",1
65,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Organic Stage 4 Spinach Mango & Pear Baby Food'],1
66,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",1
67,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
68,['Organic Strawberry Yogurt & Fruit Snack'],['Organic Mixed Berry Yogurt & Fruit Snack'],1
69,['Organic Mixed Berry Yogurt & Fruit Snack'],['Organic Strawberry Yogurt & Fruit Snack'],1
70,['Organic Strawberry Yogurt & Fruit Snack'],['Organic Whole Milk'],1
71,['Organic Whole Milk'],['Organic Strawberry Yogurt & Fruit Snack'],1
72,['Organic Mixed Berry Yogurt & Fruit Snack'],['Banana & Mango Organic Yogurt & Fruit Snacks\xa0'],1
73,['Banana & Mango Organic Yogurt & Fruit Snacks\xa0'],['Organic Mixed Berry Yogurt & Fruit Snack'],1
74,['Organic Mixed Berry Yogurt & Fruit Snack'],['Organic Whole Milk'],1
75,['Organic Whole Milk'],['Organic Mixed Berry Yogurt & Fruit Snack'],1
76,['Organic Whole String Cheese'],['Organic Whole Milk'],1
77,['Organic Whole Milk'],['Organic Whole String Cheese'],1
78,['Original Hummus'],['Organic Whole String Cheese'],1
79,['Organic Whole String Cheese'],['Original Hummus'],1
80,['Organic Whole String Cheese'],['Grated Parmesan'],1
81,['Grated Parmesan'],['Organic Whole String Cheese'],1
82,['Organic Whole String Cheese'],['Organic Italian Parsley Bunch'],1
83,['Organic Italian Parsley Bunch'],['Organic Whole String Cheese'],1
84,['Organic Whole String Cheese'],['Spinach Peas & Pear Stage 2 Baby Food'],1
85,['Spinach Peas & Pear Stage 2 Baby Food'],['Organic Whole String Cheese'],1
86,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Whole String Cheese'],1
87,['Organic Whole String Cheese'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
88,"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",['Organic Stage 4 Green Bean Pear & Pea Baby Food'],1
89,['Organic Stage 4 Green Bean Pear & Pea Baby Food'],"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",1
90,"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",['Organic Whole Milk'],1
91,['Organic Whole Milk'],"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",1
92,['Organic Stage 4 Spinach Mango & Pear Baby Food'],"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",1
93,"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",['Organic Stage 4 Spinach Mango & Pear Baby Food'],1
94,['Organic Stage 4 Green Bean Pear & Pea Baby Food'],['Organic Whole Milk'],1
95,['Organic Whole Milk'],['Organic Stage 4 Green Bean Pear & Pea Baby Food'],1
96,['Organic Stage 4 Green Bean Pear & Pea Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
97,['Spinach Peas & Pear Stage 2 Baby Food'],['Organic Stage 4 Green Bean Pear & Pea Baby Food'],1
98,['Organic Stage 4 Spinach Mango & Pear Baby Food'],['Organic Stage 4 Green Bean Pear & Pea Baby Food'],1
99,['Organic Stage 4 Green Bean Pear & Pea Baby Food'],['Organic Stage 4 Spinach Mango & Pear Baby Food'],1
100,['Organic Black Beans'],['Organic Whole Milk'],1
101,['Organic Whole Milk'],['Organic Black Beans'],1
102,['Original Hummus'],['Organic Whole Milk'],1
103,['Organic Whole Milk'],['Original Hummus'],1
104,['Extra Virgin Olive Oil'],['Organic Whole Milk'],1
105,['Organic Whole Milk'],['Extra Virgin Olive Oil'],1
106,['Organic Whole Milk'],['Organic Cilantro'],1
107,['Organic Cilantro'],['Organic Whole Milk'],1
108,['Grated Parmesan'],['Organic Whole Milk'],1
109,['Organic Whole Milk'],['Grated Parmesan'],1
110,['Organic Whole Milk'],['Organic Italian Parsley Bunch'],1
111,['Organic Italian Parsley Bunch'],['Organic Whole Milk'],1
112,['Organic Whole Milk'],['Spinach Peas & Pear Stage 2 Baby Food'],1
113,['Spinach Peas & Pear Stage 2 Baby Food'],['Organic Whole Milk'],1
114,['Organic Stage 4 Spinach Mango & Pear Baby Food'],['Organic Whole Milk'],1
115,['Organic Whole Milk'],['Organic Stage 4 Spinach Mango & Pear Baby Food'],1
116,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Whole Milk'],1
117,['Organic Whole Milk'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
118,['Stage 2 Sweet Potato Corn & Apple Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
119,['Spinach Peas & Pear Stage 2 Baby Food'],['Stage 2 Sweet Potato Corn & Apple Baby Food'],1
120,['Stage 2 Sweet Potato Corn & Apple Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
121,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Stage 2 Sweet Potato Corn & Apple Baby Food'],1
122,['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],"['Organic Pears, Peas and Broccoli Puree Stage 1']",1
123,"['Organic Pears, Peas and Broccoli Puree Stage 1']",['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],1
124,['Extra Virgin Olive Oil'],['Organic Italian Parsley Bunch'],1
125,['Organic Italian Parsley Bunch'],['Extra Virgin Olive Oil'],1
126,['Extra Virgin Olive Oil'],['Spinach Peas & Pear Stage 2 Baby Food'],1
127,['Spinach Peas & Pear Stage 2 Baby Food'],['Extra Virgin Olive Oil'],1
128,['Extra Virgin Olive Oil'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
129,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Extra Virgin Olive Oil'],1
130,['Organic Cilantro'],['Organic Italian Parsley Bunch'],1
131,['Organic Italian Parsley Bunch'],['Organic Cilantro'],1
132,['Organic Cilantro'],['Spinach Peas & Pear Stage 2 Baby Food'],1
133,['Spinach Peas & Pear Stage 2 Baby Food'],['Organic Cilantro'],1
134,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Cilantro'],1
135,['Organic Cilantro'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
136,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Grated Parmesan'],1
137,['Grated Parmesan'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
138,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Italian Parsley Bunch'],1
139,['Organic Italian Parsley Bunch'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
140,['Organic Stage 3 Pear Carrot Apricot Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
141,['Spinach Peas & Pear Stage 2 Baby Food'],['Organic Stage 3 Pear Carrot Apricot Baby Food'],1
142,['Pear & Mango Stage 2 Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
143,['Spinach Peas & Pear Stage 2 Baby Food'],['Pear & Mango Stage 2 Baby Food'],1
144,['Organic Stage 4 Spinach Mango & Pear Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
145,['Spinach Peas & Pear Stage 2 Baby Food'],['Organic Stage 4 Spinach Mango & Pear Baby Food'],1
146,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Spinach Peas & Pear Stage 2 Baby Food'],1
147,['Spinach Peas & Pear Stage 2 Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
148,['Apple and Carrot Stage 2 Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
149,['Spinach Peas & Pear Stage 2 Baby Food'],['Apple and Carrot Stage 2 Baby Food'],1
150,"['Organic Pears, Peas and Broccoli Puree Stage 1']",['Spinach Peas & Pear Stage 2 Baby Food'],1
151,['Spinach Peas & Pear Stage 2 Baby Food'],"['Organic Pears, Peas and Broccoli Puree Stage 1']",1
152,['Organic Stage 3 Pear Carrot Apricot Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
153,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Stage 3 Pear Carrot Apricot Baby Food'],1
154,['Pear & Mango Stage 2 Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
155,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Pear & Mango Stage 2 Baby Food'],1
156,['Apple and Carrot Stage 2 Baby Food'],['Pear & Mango Stage 2 Baby Food'],1
157,['Pear & Mango Stage 2 Baby Food'],['Apple and Carrot Stage 2 Baby Food'],1
158,['Organic Stage 4 Spinach Mango & Pear Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
159,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Stage 4 Spinach Mango & Pear Baby Food'],1
160,['Apple and Carrot Stage 2 Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
161,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Apple and Carrot Stage 2 Baby Food'],1
162,"['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Broccoli & Apple Stage 2 Baby Food']",['Spinach Peas & Pear Stage 2 Baby Food'],1
163,"['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Spinach Peas & Pear Stage 2 Baby Food']",['Broccoli & Apple Stage 2 Baby Food'],1
164,"['Broccoli & Apple Stage 2 Baby Food', 'Spinach Peas & Pear Stage 2 Baby Food']",['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
165,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],"['Broccoli & Apple Stage 2 Baby Food', 'Spinach Peas & Pear Stage 2 Baby Food']",1
166,['Broccoli & Apple Stage 2 Baby Food'],"['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Spinach Peas & Pear Stage 2 Baby Food']",1
167,['Spinach Peas & Pear Stage 2 Baby Food'],"['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Broccoli & Apple Stage 2 Baby Food']",1
168,"['Peach,  Apricot & Banana Stage 2 Baby Food', 'Baby Food Stage 2 Blueberry Pear & Purple Carrot']",['Spinach Peas & Pear Stage 2 Baby Food'],1
169,"['Peach,  Apricot & Banana Stage 2 Baby Food', 'Spinach Peas & Pear Stage 2 Baby Food']",['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
170,"['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Spinach Peas & Pear Stage 2 Baby Food']","['Peach,  Apricot & Banana Stage 2 Baby Food']",1
171,"['Peach,  Apricot & Banana Stage 2 Baby Food']","['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Spinach Peas & Pear Stage 2 Baby Food']",1
172,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],"['Peach,  Apricot & Banana Stage 2 Baby Food', 'Spinach Peas & Pear Stage 2 Baby Food']",1
173,['Spinach Peas & Pear Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food', 'Baby Food Stage 2 Blueberry Pear & Purple Carrot']",1
174,"['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food', 'Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food']","['Organic Pears, Peas and Broccoli Puree Stage 1']",1
175,"['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food', 'Organic Pears, Peas and Broccoli Puree Stage 1']",['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
176,"['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food', 'Organic Pears, Peas and Broccoli Puree Stage 1']",['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],1
177,['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],"['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food', 'Organic Pears, Peas and Broccoli Puree Stage 1']",1
178,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],"['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food', 'Organic Pears, Peas and Broccoli Puree Stage 1']",1
179,"['Organic Pears, Peas and Broccoli Puree Stage 1']","['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food', 'Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food']",1
180,"['Apple and Carrot Stage 2 Baby Food', 'Baby Food Stage 2 Blueberry Pear & Purple Carrot']",['Spinach Peas & Pear Stage 2 Baby Food'],1
181,"['Apple and Carrot Stage 2 Baby Food', 'Spinach Peas & Pear Stage 2 Baby Food']",['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
182,"['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Spinach Peas & Pear Stage 2 Baby Food']",['Apple and Carrot Stage 2 Baby Food'],1
183,['Apple and Carrot Stage 2 Baby Food'],"['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Spinach Peas & Pear Stage 2 Baby Food']",1
184,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],"['Apple and Carrot Stage 2 Baby Food', 'Spinach Peas & Pear Stage 2 Baby Food']",1
185,['Spinach Peas & Pear Stage 2 Baby Food'],"['Apple and Carrot Stage 2 Baby Food', 'Baby Food Stage 2 Blueberry Pear & Purple Carrot']",1
186,['Sparkling Water Grapefruit'],['Sparkling Water Berry'],2
187,['Sparkling Water Berry'],['Sparkling Water Grapefruit'],2
188,['Sparkling Lemon Water'],['Lime Sparkling Water'],2
189,['Lime Sparkling Water'],['Sparkling Lemon Water'],2
190,['Sparkling Water Grapefruit'],['Sparkling Lemon Water'],2
191,['Sparkling Lemon Water'],['Sparkling Water Grapefruit'],2
192,['Sparkling Water Grapefruit'],['Peach Pear Flavored Sparkling Water'],2
193,['Peach Pear Flavored Sparkling Water'],['Sparkling Water Grapefruit'],2
194,['Extra Virgin Olive Oil'],['Organic Italian Parsley Bunch'],2
195,['Organic Italian Parsley Bunch'],['Extra Virgin Olive Oil'],2
196,['Organic Cilantro'],['Organic Italian Parsley Bunch'],2
197,['Organic Italian Parsley Bunch'],['Organic Cilantro'],2
198,['Sparkling Water Grapefruit'],['Lime Sparkling Water'],2
199,['Lime Sparkling Water'],['Sparkling Water Grapefruit'],2
